orgao_sigla,entry_type,field,original,normalizado,method,score,variation_type
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
IPHAN,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Projetos Especiais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Segurança e Privacidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Serviços Digitais e Melhoria da Qualidade,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
MDHC,delivery,eixo,,Unificação de Canais Digitais,unmatched,0.0,imputado
