sigla,nome_completo,grupo,url_diretivo,url_entregas,pdf_path_diretivo,pdf_path_entregas
MJSP,Plano de Transformação Digital MJSP:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mjsp_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mjsp_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MJSP_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MJSP_entregas.pdf
MMA,Plano de Transformação Digital MMA / IBAMA / ICMBio / SFB / JBRJ:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_docdiretivo_assinado_2025_2026-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mma_ptd_anexo_de_entregas_aprovado_final_assinado_assinado-copia_tarjada.pdf,,
MME,Plano de Transformação Digital MME:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mme_ptd_2025_2027_docdiretivo_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mme_ptd_2025_2027_anexo_de_entregas_assinado__1_-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MME_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MME_entregas.pdf
MMULHERES,Plano de Transformação Digital MMULHERES,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mmulheres_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mmulheres_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MMULHERES_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MMULHERES_entregas.pdf
MPI,Plano de Transformação Digital MPI,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mpi_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mpi_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MPI_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MPI_entregas.pdf
MPO,Plano de Transformação Digital MPO:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mpo_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mpo_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MPO_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MPO_entregas.pdf
MPOR,Plano de Transformação Digital MPOR:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mpor_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_tarjado.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mpor_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MPOR_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MPOR_entregas.pdf
MPS,Plano de Transformação Digital MPS:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mps_ptd_2025-2026_docdiretivo_final_assinado-1_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mps_ptd_2025-2026_anexo_de_entregas_final_assinado_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MPS_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MPS_entregas.pdf
MRE,Plano de Transformação Digital MRE:,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mre_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mre_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf,/home/user/PTD/ptd_output/pdfs/diretivo/MRE_diretivo.pdf,/home/user/PTD/ptd_output/pdfs/entregas/MRE_entregas.pdf
MT,Plano de Transformação Digital MT / ANTT / DNIT:,,,https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mt_anexo_de_entregas_-_assinado_assinado_assinado_copia_tarjada.pdf,,
